Specimen Collection Date,New Cases,Cumulative Cases,Data As Of,Data Loaded At
10/10/2021 12:00:00 AM,30,51704,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/13/2021 12:00:00 AM,70,51911,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/16/2021 12:00:00 AM,33,52054,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/19/2021 12:00:00 AM,67,52215,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/22/2021 12:00:00 AM,49,52408,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/25/2021 12:00:00 AM,63,52519,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/28/2021 12:00:00 AM,67,52737,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
10/31/2021 12:00:00 AM,20,52852,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/03/2021 12:00:00 AM,121,53126,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/06/2021 12:00:00 AM,56,53399,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/09/2021 12:00:00 AM,59,53575,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/12/2021 12:00:00 AM,59,53791,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/15/2021 12:00:00 AM,65,53915,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/18/2021 12:00:00 AM,64,54139,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/21/2021 12:00:00 AM,30,54266,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/24/2021 12:00:00 AM,67,54466,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/27/2021 12:00:00 AM,39,54563,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
11/30/2021 12:00:00 AM,120,54796,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/03/2021 12:00:00 AM,84,55083,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/06/2021 12:00:00 AM,92,55278,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/09/2021 12:00:00 AM,107,55598,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/12/2021 12:00:00 AM,55,55800,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/15/2021 12:00:00 AM,295,56450,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/18/2021 12:00:00 AM,263,57348,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/21/2021 12:00:00 AM,908,59089,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/24/2021 12:00:00 AM,545,61796,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/27/2021 12:00:00 AM,1649,64386,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
12/30/2021 12:00:00 AM,1953,69989,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/02/2022 12:00:00 AM,1042,72386,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/05/2022 12:00:00 AM,3182,81401,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/08/2022 12:00:00 AM,1314,88111,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/11/2022 12:00:00 AM,1787,92759,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/14/2022 12:00:00 AM,1864,99182,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/17/2022 12:00:00 AM,1561,102803,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/20/2022 12:00:00 AM,1541,107726,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/23/2022 12:00:00 AM,579,110282,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/26/2022 12:00:00 AM,894,113299,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
01/29/2022 12:00:00 AM,361,115060,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/01/2022 12:00:00 AM,443,116310,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/04/2022 12:00:00 AM,347,117578,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/07/2022 12:00:00 AM,392,118370,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/10/2022 12:00:00 AM,274,119353,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/13/2022 12:00:00 AM,102,119799,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/16/2022 12:00:00 AM,188,120438,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/19/2022 12:00:00 AM,77,120859,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
02/22/2022 12:00:00 AM,182,121241,03/04/2022 04:30:00 AM,03/04/2022 07:00:11 AM
